0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"{'id': 42, 'motives': 'Fork', 'session': 1, 'order_in_session': 0}","{'id': 29, 'motives': 'Fork', 'session': 1, 'order_in_session': 1}","{'id': 40, 'motives': 'Fork', 'session': 1, 'order_in_session': 2}","{'id': 37, 'motives': 'Fork', 'session': 1, 'order_in_session': 3}","{'id': 31, 'motives': 'Fork', 'session': 1, 'order_in_session': 4}","{'id': 45, 'motives': 'Fork', 'session': 1, 'order_in_session': 5}","{'id': 35, 'motives': 'Fork', 'session': 1, 'order_in_session': 6}","{'id': 70, 'motives': 'Undermining', 'session': 1, 'order_in_session': 7}","{'id': 57, 'motives': 'Undermining', 'session': 1, 'order_in_session': 8}","{'id': 68, 'motives': 'Undermining', 'session': 1, 'order_in_session': 9}","{'id': 65, 'motives': 'Undermining', 'session': 1, 'order_in_session': 10}","{'id': 59, 'motives': 'Undermining', 'session': 1, 'order_in_session': 11}","{'id': 73, 'motives': 'Undermining', 'session': 1, 'order_in_session': 12}","{'id': 63, 'motives': 'Undermining', 'session': 1, 'order_in_session': 13}","{'id': 96, 'motives': 'Pin', 'session': 1, 'order_in_session': 14}","{'id': 83, 'motives': 'Pin', 'session': 1, 'order_in_session': 15}","{'id': 94, 'motives': 'Pin', 'session': 1, 'order_in_session': 16}","{'id': 91, 'motives': 'Pin', 'session': 1, 'order_in_session': 17}","{'id': 85, 'motives': 'Pin', 'session': 1, 'order_in_session': 18}","{'id': 99, 'motives': 'Pin', 'session': 1, 'order_in_session': 19}","{'id': 89, 'motives': 'Pin', 'session': 1, 'order_in_session': 20}"
"{'id': 25, 'motives': 'Fork', 'session': 2, 'order_in_session': 0}","{'id': 48, 'motives': 'Fork', 'session': 2, 'order_in_session': 1}","{'id': 24, 'motives': 'Fork', 'session': 2, 'order_in_session': 2}","{'id': 43, 'motives': 'Fork', 'session': 2, 'order_in_session': 3}","{'id': 1, 'motives': 'Fork', 'session': 2, 'order_in_session': 4}","{'id': 28, 'motives': 'Fork', 'session': 2, 'order_in_session': 5}","{'id': 36, 'motives': 'Fork', 'session': 2, 'order_in_session': 6}","{'id': 53, 'motives': 'Undermining', 'session': 2, 'order_in_session': 7}","{'id': 76, 'motives': 'Undermining', 'session': 2, 'order_in_session': 8}","{'id': 52, 'motives': 'Undermining', 'session': 2, 'order_in_session': 9}","{'id': 71, 'motives': 'Undermining', 'session': 2, 'order_in_session': 10}","{'id': 2, 'motives': 'Undermining', 'session': 2, 'order_in_session': 11}","{'id': 56, 'motives': 'Undermining', 'session': 2, 'order_in_session': 12}","{'id': 64, 'motives': 'Undermining', 'session': 2, 'order_in_session': 13}","{'id': 79, 'motives': 'Pin', 'session': 2, 'order_in_session': 14}","{'id': 102, 'motives': 'Pin', 'session': 2, 'order_in_session': 15}","{'id': 78, 'motives': 'Pin', 'session': 2, 'order_in_session': 16}","{'id': 97, 'motives': 'Pin', 'session': 2, 'order_in_session': 17}","{'id': 3, 'motives': 'Pin', 'session': 2, 'order_in_session': 18}","{'id': 82, 'motives': 'Pin', 'session': 2, 'order_in_session': 19}","{'id': 90, 'motives': 'Pin', 'session': 2, 'order_in_session': 20}"
"{'id': 4, 'motives': 'Fork', 'session': 3, 'order_in_session': 0}","{'id': 46, 'motives': 'Fork', 'session': 3, 'order_in_session': 1}","{'id': 41, 'motives': 'Fork', 'session': 3, 'order_in_session': 2}","{'id': 6, 'motives': 'Fork', 'session': 3, 'order_in_session': 3}","{'id': 27, 'motives': 'Fork', 'session': 3, 'order_in_session': 4}","{'id': 10, 'motives': 'Fork', 'session': 3, 'order_in_session': 5}","{'id': 33, 'motives': 'Fork', 'session': 3, 'order_in_session': 6}","{'id': 11, 'motives': 'Pin', 'session': 3, 'order_in_session': 7}","{'id': 100, 'motives': 'Pin', 'session': 3, 'order_in_session': 8}","{'id': 95, 'motives': 'Pin', 'session': 3, 'order_in_session': 9}","{'id': 12, 'motives': 'Pin', 'session': 3, 'order_in_session': 10}","{'id': 81, 'motives': 'Pin', 'session': 3, 'order_in_session': 11}","{'id': 16, 'motives': 'Pin', 'session': 3, 'order_in_session': 12}","{'id': 87, 'motives': 'Pin', 'session': 3, 'order_in_session': 13}","{'id': 17, 'motives': 'Undermining', 'session': 3, 'order_in_session': 14}","{'id': 74, 'motives': 'Undermining', 'session': 3, 'order_in_session': 15}","{'id': 69, 'motives': 'Undermining', 'session': 3, 'order_in_session': 16}","{'id': 18, 'motives': 'Undermining', 'session': 3, 'order_in_session': 17}","{'id': 55, 'motives': 'Undermining', 'session': 3, 'order_in_session': 18}","{'id': 22, 'motives': 'Undermining', 'session': 3, 'order_in_session': 19}","{'id': 61, 'motives': 'Undermining', 'session': 3, 'order_in_session': 20}"
"{'id': 39, 'motives': 'Fork', 'session': 4, 'order_in_session': 0}","{'id': 47, 'motives': 'Fork', 'session': 4, 'order_in_session': 1}","{'id': 7, 'motives': 'Fork', 'session': 4, 'order_in_session': 2}","{'id': 49, 'motives': 'Fork', 'session': 4, 'order_in_session': 3}","{'id': 30, 'motives': 'Fork', 'session': 4, 'order_in_session': 4}","{'id': 38, 'motives': 'Fork', 'session': 4, 'order_in_session': 5}","{'id': 9, 'motives': 'Fork', 'session': 4, 'order_in_session': 6}","{'id': 93, 'motives': 'Pin', 'session': 4, 'order_in_session': 7}","{'id': 101, 'motives': 'Pin', 'session': 4, 'order_in_session': 8}","{'id': 13, 'motives': 'Pin', 'session': 4, 'order_in_session': 9}","{'id': 103, 'motives': 'Pin', 'session': 4, 'order_in_session': 10}","{'id': 84, 'motives': 'Pin', 'session': 4, 'order_in_session': 11}","{'id': 92, 'motives': 'Pin', 'session': 4, 'order_in_session': 12}","{'id': 15, 'motives': 'Pin', 'session': 4, 'order_in_session': 13}","{'id': 67, 'motives': 'Undermining', 'session': 4, 'order_in_session': 14}","{'id': 75, 'motives': 'Undermining', 'session': 4, 'order_in_session': 15}","{'id': 19, 'motives': 'Undermining', 'session': 4, 'order_in_session': 16}","{'id': 105, 'motives': 'Undermining', 'session': 4, 'order_in_session': 17}","{'id': 58, 'motives': 'Undermining', 'session': 4, 'order_in_session': 18}","{'id': 66, 'motives': 'Undermining', 'session': 4, 'order_in_session': 19}","{'id': 21, 'motives': 'Undermining', 'session': 4, 'order_in_session': 20}"
"{'id': 8, 'motives': 'Fork', 'session': 5, 'order_in_session': 0}","{'id': 23, 'motives': 'Fork', 'session': 5, 'order_in_session': 1}","{'id': 26, 'motives': 'Fork', 'session': 5, 'order_in_session': 2}","{'id': 32, 'motives': 'Fork', 'session': 5, 'order_in_session': 3}","{'id': 34, 'motives': 'Fork', 'session': 5, 'order_in_session': 4}","{'id': 44, 'motives': 'Fork', 'session': 5, 'order_in_session': 5}","{'id': 50, 'motives': 'Fork', 'session': 5, 'order_in_session': 6}","{'id': 14, 'motives': 'Pin', 'session': 5, 'order_in_session': 7}","{'id': 77, 'motives': 'Pin', 'session': 5, 'order_in_session': 8}","{'id': 80, 'motives': 'Pin', 'session': 5, 'order_in_session': 9}","{'id': 86, 'motives': 'Pin', 'session': 5, 'order_in_session': 10}","{'id': 88, 'motives': 'Pin', 'session': 5, 'order_in_session': 11}","{'id': 98, 'motives': 'Pin', 'session': 5, 'order_in_session': 12}","{'id': 104, 'motives': 'Pin', 'session': 5, 'order_in_session': 13}","{'id': 20, 'motives': 'Undermining', 'session': 5, 'order_in_session': 14}","{'id': 51, 'motives': 'Undermining', 'session': 5, 'order_in_session': 15}","{'id': 54, 'motives': 'Undermining', 'session': 5, 'order_in_session': 16}","{'id': 60, 'motives': 'Undermining', 'session': 5, 'order_in_session': 17}","{'id': 62, 'motives': 'Undermining', 'session': 5, 'order_in_session': 18}","{'id': 72, 'motives': 'Undermining', 'session': 5, 'order_in_session': 19}","{'id': 106, 'motives': 'Undermining', 'session': 5, 'order_in_session': 20}"
