id,initial_fen,moves,starting_color,motives,created_at,session,order_in_session,group
2,r2q1rk1/pp2bppp/5n2/2pp2B1/2n5/2PQ3P/PPB2PP1/1R3RK1 w - - 0 1,"['g5f6', 'e7f6', 'd3h7']",white,Undermining,2025-01-26 16:40:27.665653,2,19,4
78,4r3/1pp2p1k/p1b1q1pp/8/3Q4/2P4P/PPB3P1/5R1K b - - 0 1,"['e6h3', 'h1g1', 'h3g2']",black,Pin,2025-02-28 15:07:40.203553,2,20,4
17,5rk1/ppq2pp1/7p/2p5/2Pn2n1/1P1Q1N2/P4PPP/5RK1 b - - 0 1,"['d4f3', 'd3f3', 'c7h2']",black,Undermining,2025-01-26 18:59:33.448534,3,0,4
81,r2qk2r/p1p2ppp/bpnp1n2/4p3/2PPP3/P1PBBP2/6PP/R2QK1NR w KQ - 0 1,"['d1a4', 'a6b7', 'd4d5']",white,Pin,2025-03-01 00:52:11.907261,3,1,4
74,6k1/5pp1/2pp4/p1b4q/Pp2P2P/1B2B3/1PP1QPr1/1R3K2 b - - 0 1,"['g2g1', 'f1g1', 'h5e2']",black,Undermining,2025-02-28 15:01:16.051864,3,2,4
4,r1bqkbnr/pppp1ppp/2n5/4p3/2B1N3/5N2/PPPP1PPP/R1BQK2R b KQkq - 0 1,['d7d5'],black,Fork,2025-01-26 17:54:12.337620,3,3,4
69,r2r2k1/ppp2ppp/2n5/3q4/8/2P2N2/PP3PPP/R2QR1K1 w - - 0 1,"['e1e8', 'd8e8', 'd1d5']",white,Undermining,2025-02-28 13:32:04.738418,3,4,4
27,6k1/R4pp1/1p5p/4p3/6b1/1P1r2P1/P4PBP/6K1 w - - 0 1,"['a7a8', 'g8h7', 'g2e4', 'g7g6', 'e4d3']",white,Fork,2025-02-27 22:05:43.961677,3,5,4
87,8/1pk5/q7/8/4N2P/P5P1/1P3B2/4K3 b - - 0 1,"['a6e6', 'e1f1', 'e6e4']",black,Pin,2025-03-01 01:00:15.231441,3,6,4
41,1r1q1rk1/1pp1npp1/p2pb2p/8/2Pb4/1PNB4/PB3PPP/R3QRK1 w - - 0 1,"['e1e4', 'g7g6', 'e4d4']",white,Fork,2025-02-28 01:26:14.431245,3,7,4
11,5q2/4r2k/6pp/5p2/1QPp4/2n2BPP/5PK1/R7 w - - 0 1,"['a1a7', 'e7a7', 'b4f8']",white,Pin,2025-01-26 18:24:08.527947,3,8,4
6,8/6pk/p2R3p/1b4n1/8/8/P4R2/2K5 b - - 0 1,['g5e4'],black,Fork,2025-01-26 18:01:00.836833,3,9,4
18,1r4k1/3q1p1p/3p2p1/1p1Nb3/8/2P5/1P2QPPP/4R1K1 w - - 0 1,"['e2e5', 'd6e5', 'd5f6', 'g8g7', 'f6d7']",white,Undermining,2025-01-26 19:02:51.432430,3,10,4
100,r5k1/p5pp/1p1b4/3r1p2/4p3/1N6/PPP1QPPP/7K w - - 0 1,['e2c4'],white,Pin,2025-03-01 01:14:43.777453,3,11,4
61,b3rb1k/5pp1/2q5/7N/pp6/P3N3/1P3PPP/2B1RRK1 b - - 0 1,"['e8e3', 'c1e3', 'c6g2']",black,Undermining,2025-02-28 13:17:06.101194,3,12,4
46,4k2b/1p1q3p/p1p3p1/P1Q5/1P3r2/1N3P2/6PP/5R1K w - - 0 1,"['c5e3', 'd7e7', 'e3f4']",white,Fork,2025-02-28 01:35:21.545378,3,13,4
12,r5rk/pp3p1p/4bp2/2p5/2P5/1PN4P/P4PP1/3R1RK1 b - - 0 1,"['e6h3', 'g2g3', 'h3f1']",black,Pin,2025-01-26 18:33:30.791304,3,14,4
55,4r1k1/p4R2/1p4pp/1Pp1N3/P4P2/8/7P/6K1 b - - 0 1,"['e8e5', 'f4e5', 'g8f7']",black,Undermining,2025-02-28 13:10:13.670858,3,15,4
16,r2k4/1pp2rpp/pn3p2/3n4/8/P4NB1/1PP3PP/2KRR3 w - - 0 1,"['c2c4', 'b6c4', 'd1d5']",white,Pin,2025-01-26 18:55:02.701317,3,16,4
10,r4rk1/p1q1p1pp/1p1p1n2/3P1p2/1N3Pb1/1P4Q1/PB4PP/4RRK1 b - - 0 1,"['c7c5', 'g1h1', 'c5b4']",black,Fork,2025-01-26 18:19:42.913674,3,17,4
95,2b5/6k1/2R3p1/p6p/P3q2P/5QP1/6K1/8 b - - 0 1,"['e4f3', 'g2f3', 'c8b7']",black,Pin,2025-03-01 01:08:49.796039,3,18,4
33,2r3k1/1p1q1ppp/pn6/3p4/8/1P6/PBP2PPP/3QR1K1 w - - 0 1,"['d1d4', 'f7f6', 'd4b6']",white,Fork,2025-02-27 22:21:04.696036,3,19,4
22,5rk1/1p4pp/2pb4/4P3/1P1P2nq/3Q4/6BP/1R3NK1 b - - 0 1,"['f8f1', 'b1f1', 'h4h2']",black,Undermining,2025-01-26 19:21:22.541929,3,20,4
